symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
3.0,231.0,cat1.0,cat1.0,cat0.0,cat1.0,cat0.0,cat0.0,cat0.0,88.6,168.8,64.1,48.8,2548.0,cat1.0,cat0.0,130.0,cat0.0,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,13495.0
3.0,231.0,cat1.0,cat1.0,cat0.0,cat1.0,cat0.0,cat0.0,cat0.0,88.6,168.8,64.1,48.8,2548.0,cat1.0,cat0.0,130.0,cat0.0,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,16500.0
1.0,231.0,cat1.0,cat1.0,cat0.0,cat1.0,cat1.0,cat0.0,cat0.0,94.5,171.2,65.5,52.4,2823.0,cat0.0,cat1.0,152.0,cat0.0,2.68,3.47,9.0,154.0,5000.0,19.0,26.0,16500.0
2.0,164.0,cat2.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,99.8,176.6,66.2,54.3,2337.0,cat2.0,cat0.0,109.0,cat0.0,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0
2.0,164.0,cat2.0,cat1.0,cat0.0,cat0.0,cat2.0,cat2.0,cat0.0,99.4,176.6,66.4,54.3,2824.0,cat2.0,cat2.0,136.0,cat0.0,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0
2.0,231.0,cat2.0,cat1.0,cat0.0,cat1.0,cat2.0,cat1.0,cat0.0,99.8,177.3,66.3,53.1,2507.0,cat2.0,cat2.0,136.0,cat0.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,15250.0
1.0,158.0,cat2.0,cat1.0,cat0.0,cat0.0,cat2.0,cat1.0,cat0.0,105.8,192.7,71.4,55.7,2844.0,cat2.0,cat2.0,136.0,cat0.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,17710.0
1.0,231.0,cat2.0,cat1.0,cat0.0,cat0.0,cat3.0,cat1.0,cat0.0,105.8,192.7,71.4,55.7,2954.0,cat2.0,cat2.0,136.0,cat0.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,18920.0
1.0,158.0,cat2.0,cat1.0,cat1.0,cat0.0,cat2.0,cat1.0,cat0.0,105.8,192.7,71.4,55.9,3086.0,cat2.0,cat2.0,131.0,cat0.0,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,23875.0
0.0,231.0,cat2.0,cat1.0,cat1.0,cat1.0,cat1.0,cat2.0,cat0.0,99.5,178.2,67.9,52.0,3053.0,cat2.0,cat2.0,131.0,cat0.0,3.13,3.4,7.0,160.0,5500.0,16.0,22.0,18420.0
2.0,192.0,cat3.0,cat1.0,cat0.0,cat1.0,cat2.0,cat0.0,cat0.0,101.2,176.8,64.8,54.3,2395.0,cat2.0,cat0.0,108.0,cat0.0,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16430.0
0.0,192.0,cat3.0,cat1.0,cat0.0,cat0.0,cat2.0,cat0.0,cat0.0,101.2,176.8,64.8,54.3,2395.0,cat2.0,cat0.0,108.0,cat0.0,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16925.0
