businessId,businessName,label,V1,V2,wonderful,perfect,generous,favorite,delicious,tasty,reasonable,highly,price,awesome,best,nice,clean,good,quick,fan,excellent,soon,prices,yummy,quality,taste,size,high,husband,amazing,really,offer,great,fantastic,recommend,fresh,little,sure,friendly,coming,try,real,usual,add,find,choice,rice,special,valley,quite,week,love,places,definitely,tried,every,close,super,thin,ever,new,found,way,lot,like,thing,also,mall,flavorful,well,ice,regular,enjoy,portion,made,friend,come,always,bit,staff,disappointed,reason,us,food,everything,top,com,eat,large,lunch,back,end,often,looking,ill,go,place,flavor,make,since,businessRating
8HQ8clouLGgee99KkR4vXA,FROST A Gelato Shoppe,High,0.516731749,-0.043820575,9,7,2,19,30,1,0,3,5,15,39,28,10,36,10,14,4,5,2,7,6,20,5,3,5,20,30,14,45,6,13,7,9,5,38,7,44,38,8,11,8,4,5,7,5,3,18,47,14,6,24,35,8,15,44,92,9,5,60,9,39,30,27,32,1,19,98,6,8,1,5,46,15,41,9,34,3,5,180,1,7,15,56,82,3,1,15,75,5,4,38,112,82,138,16,7,5
rUfhe6qibE1W-80PqDHZCw,Desert Roots Kitchen,High,0.130879995,0.02544667,7,0,6,9,19,10,2,1,11,7,10,12,0,25,3,5,3,0,4,3,1,4,2,3,1,8,12,4,30,3,4,31,16,3,19,3,11,16,0,4,11,12,21,8,0,1,7,20,4,7,4,21,5,9,43,40,14,4,27,4,16,34,10,6,2,11,55,3,7,4,17,25,6,16,6,12,3,4,100,48,14,8,26,71,0,13,12,37,1,5,40,55,48,7,13,7,5
d87fxJ47AzTlREZCnUmaFA,Rayner's Chocolate & Coffee Shop,High,0.005336903,-0.05238986,8,6,2,3,14,6,3,4,5,1,7,14,0,16,2,6,2,2,4,3,5,5,1,9,0,9,10,8,18,3,5,10,16,1,4,1,18,15,0,5,8,0,5,5,3,1,3,8,3,8,4,12,1,3,25,18,7,7,21,2,18,23,12,6,0,5,35,3,2,1,22,9,6,6,3,2,2,3,91,12,11,10,26,42,2,15,9,27,0,4,22,37,31,1,5,2,5
4CC4J_bepXOiWVS4CVN6NA,Baratin,High,-0.065797222,-0.052345962,6,8,0,3,8,0,2,2,11,1,10,2,3,9,4,6,4,0,0,1,2,3,1,4,3,11,2,5,14,2,4,25,9,3,1,2,6,3,3,0,2,0,11,2,1,2,1,12,1,4,1,16,0,3,36,27,8,0,14,2,18,29,7,9,2,4,26,1,5,2,7,3,7,8,11,2,3,4,73,22,8,10,27,45,1,11,3,13,0,3,27,33,13,9,8,3,5
1OO3fy6z5lxlRuHnnhPStg,Best of Europe Meats & Deli,High,-0.086642998,-0.01014225,6,2,1,1,4,5,2,1,6,6,15,7,3,12,1,9,1,0,2,1,2,0,0,1,1,7,8,0,19,7,4,5,7,2,3,3,11,15,4,2,5,0,6,1,3,7,2,7,3,1,5,10,1,6,13,19,1,3,11,6,8,10,4,6,0,1,19,0,2,1,10,5,3,4,3,2,1,4,65,15,6,8,13,56,5,8,11,10,0,5,12,28,33,0,7,1,5
nglQaQXuU-d38fGe_tM5-Q,Cholla Prime Steakhouse & Lounge,High,-0.158714406,-0.028204173,6,10,0,2,6,1,3,2,10,6,9,7,3,5,0,4,1,1,5,3,4,1,1,3,2,9,2,0,10,2,2,2,9,0,1,1,3,3,0,1,3,0,10,3,0,0,4,3,0,2,0,3,0,3,8,13,1,1,5,4,4,6,2,6,0,3,29,0,1,2,2,5,2,1,5,4,1,4,36,19,1,4,9,23,2,0,9,11,1,1,15,18,7,0,1,1,5
-j3BF7gOIi-1tAHoFA3WIw,La Parilla Villa Catering,High,-0.209912018,0.002766556,1,0,1,3,4,1,1,1,4,4,16,2,1,9,1,0,0,1,2,2,0,2,1,1,0,3,1,2,6,0,1,2,0,2,0,0,5,1,2,2,1,0,5,2,1,0,3,6,1,1,2,6,0,1,13,8,1,2,10,2,3,7,4,2,0,4,9,0,1,0,2,3,3,6,2,0,0,2,23,24,3,5,6,21,0,0,10,10,2,2,18,32,17,0,6,1,5
6GnJUbiq73xm24F7SixI9g,Honeycutt Coffee,High,-0.205782409,-0.00919963,1,0,0,0,6,3,0,0,0,4,2,7,4,8,1,2,2,1,0,2,1,2,0,1,2,3,5,2,17,1,1,2,2,0,11,1,5,6,0,1,3,0,0,1,0,0,2,10,2,5,1,0,2,3,5,4,1,2,5,4,10,4,3,1,0,3,20,2,2,0,3,12,2,3,0,8,0,0,35,4,0,7,9,18,0,1,7,13,0,0,5,13,16,0,1,2,5
bcxb83VBtvOGmo6D1Xst_w,Sunfare,High,-0.229624594,-0.031158746,0,2,0,3,3,2,0,3,4,2,1,2,1,6,1,0,1,1,1,0,4,1,0,5,0,1,4,1,11,0,3,5,3,1,2,0,3,5,0,1,0,0,4,2,0,1,9,3,1,1,2,5,0,2,8,14,1,0,6,3,7,5,2,0,0,0,12,0,2,2,2,4,0,2,2,1,1,0,23,19,1,0,5,18,0,5,0,11,0,2,12,24,2,0,0,2,5
kyoIj_mDNFxCdy_m3uHNmQ,24 Carrots Juice Bar & Cafe,High,-0.235192196,-0.021101808,1,0,0,2,5,1,0,1,4,1,1,3,2,3,1,0,1,0,2,0,3,5,1,3,1,4,2,3,3,0,0,8,1,2,1,1,2,3,0,0,0,0,5,0,1,0,1,4,0,0,1,1,1,0,8,4,12,1,0,0,4,5,4,1,0,4,16,1,0,1,2,1,2,0,5,1,0,0,26,13,0,1,7,16,1,2,2,2,1,2,7,12,9,4,1,1,5
z0hUNe3YiSknxs1HJZZDtg,Mary Elaine's,High,-0.274290398,-0.053628225,2,4,0,2,1,0,0,1,0,1,2,1,0,3,0,4,1,0,0,0,0,3,0,2,0,2,4,0,4,1,1,0,0,1,0,0,0,7,0,3,2,1,0,2,1,0,1,3,0,1,0,5,1,2,7,8,0,1,3,0,4,5,1,2,0,0,6,0,1,1,0,3,1,1,4,3,0,0,22,5,1,1,5,9,0,0,3,4,0,0,12,8,5,0,2,2,5
